date,yclose-cPOC,yclose_cVAH,yclose_cVAL,yclose_cLVN,cVAH_cPOC,cPOC_cVAL,maxhD5_yclose,yclose_minlD5,close_POC,close_cPOC,close_VAH,close_cVAH,close_VAL,close_cVAL,close_LVN,close_cLVN,dH_maxhD5,dL_minlD5,close_yclose,open_yclose,nextClose_nextOpen,nextClose_close
20170419,173.4271429,102.3014286,191.2085714,60.81142857,71.12571429,17.78142857,2.65,204.8,-27.29,194.2771429,-34.13,123.1514286,-15.32,212.0585714,-10.19,81.66142857,59.5,207.1,20.85,19.7,-0.95,27.35
20170420,176.1742857,69.39428571,244.8185714,145.6657143,106.78,68.64428571,13.45,253.5,-1.657142857,176.1742857,-9.857142857,69.39428571,4.2,244.8185714,5.371428571,145.6657143,8.55,234.5,0,0.45,-22.2,-13.05
20170421,-7.757142857,-23.5,149.6714286,94.57142857,15.74285714,157.4285714,22.5,253,4.837142857,-9.257142857,3.531428571,-25,13.97714286,148.1714286,-4.302857143,93.07142857,-7.3,222.5,-1.5,9.65,-9.1,-1
20170424,-9.072857143,-29.31857143,58.41285714,132.6471429,20.24571429,67.48571429,35.05,201.15,25.8,11.97714286,7.6,-8.268571429,46.6,79.46285714,7.6,153.6971429,6,151.2,21.05,19.15,-21,-15.4
20170425,4.297142857,-17.62,18.90857143,37.17285714,21.91714286,14.61142857,31,96.85,12.51857143,18.14714286,6.701428571,-3.77,16.88142857,32.75857143,18.33571429,51.02285714,-6,70.95,13.85,16.6,22.75,26.15
20170426,-10.4,-13,5.2,33.8,2.6,15.6,35.4,55.6,0.578571428,8.55,-8.198571429,5.95,15.20714286,24.15,-5.272857143,52.75,12,51.8,18.95,21.65,-33,-39.8
20170427,40.37142857,25.65714286,49.2,78.62857143,14.71428571,8.828571429,3,100,6.742857143,5.371428571,-4.022857143,-9.342857143,30.06857143,14.2,15.71428571,43.62857143,-24.2,16,-35,-32.25,15,-1
20170428,-24.87857143,-39.59285714,-10.16428571,-45.47857143,14.71428571,14.71428571,68.25,34.75,-10.78,-4.628571429,-11.96,-19.34285714,-0.16,10.08571429,-9.6,-25.22857143,-20.55,41.15,20.25,14.25,0.35,14.6
20170502,4.371428571,-13.28571429,16.14285714,42.62857143,17.65714286,11.77142857,39,64,-2.86,9.371428571,-6.348571428,-8.285714286,4.117142857,21.14285714,4.117142857,47.62857143,-11.35,50.95,5,5.25,55.6,68.55
20170503,9.285714286,-5.628571429,14.25714286,24.2,14.91428571,4.971428571,33.4,53.6,-31.11142857,26.33571429,-40.61857143,11.42142857,-29.21,31.30714286,-21.60428571,41.25,40.5,60.95,17.05,12.35,5.4,69.35
20170504,63.69285714,34.55,89.19285714,27.26428571,29.14285714,25.5,5.95,121.55,-9.841428571,84.99285714,-18.17285714,55.85,-4.287142857,110.4928571,-11.69285714,48.56428571,39.5,134.6,21.3,13.05,-16.4,-19.4
20170505,89.77142857,32.51428571,132.7142857,61.14285714,57.25714286,42.94285714,27,140,23.78428571,90.52142857,19.15142857,33.26428571,33.05,133.4642857,33.05,61.89285714,-20.9,92.05,0.75,-0.15,11.4,18.45
20170508,66.45571429,5.662857143,94.82571429,34.03285714,60.79285714,28.37,43.55,98.3,0,93.00571429,-4.2,32.21285714,1.8,121.3757143,-0.6,60.58285714,-6,114.85,26.55,24.35,51.4,72
20170509,5.192857143,-6.125714286,54.24,65.55857143,11.31857143,49.04714286,7.8,124.25,-16.4,8.992857143,-37.68571429,-2.325714286,-5.757142857,58.04,-41.94285714,69.35857143,68.5,126.05,3.8,11.4,26,75
20170510,68.36428571,18.49285714,108.2614286,128.21,49.87142857,39.89714286,13.5,161.05,-15.33857143,44.46428571,-29.12,-5.407142857,-4.062857143,84.36142857,-25.36142857,104.31,4.95,135.65,-23.9,-10,-41.35,-58.45
20170511,84.04,11.96,96.76,101,72.08,12.72,2.45,145.95,-11.85142857,28.64,-13.84,-43.44,10.02285714,41.36,19.96571429,45.6,-34.55,44.25,-55.4,-57,-7.4,-23.55
20170512,-14.31,-86.39,-1.59,2.65,72.08,12.72,100.8,47.6,24.11285714,20.74,-7.558571429,-51.34,65.28571429,33.46,39.94857143,37.7,-25.05,12.5,35.05,26.8,-35,-26.7
20170515,5.175714286,-41.41857143,44.00428571,-6.472857143,46.59428571,38.82857143,81.4,54.5,21.03571429,35.52571429,15.45142857,-11.06857143,39.65,74.35428571,26.62,23.87714286,-45.4,25.35,30.35,23.95,-70.95,-97.95
20170516,-33.05428571,-68,-1.991428572,-44.70285714,34.94571429,31.06285714,92.45,43.45,61,-24.05428571,37.08571429,-59,66.31428571,7.008571428,42.4,-35.70285714,-73.45,-30.55,9,14.4,-25.85,-78.6
20170517,-122.9785714,-127.7342857,-42.13142857,-23.10857143,4.755714286,80.84714286,149,17.45,7.42,-93.42857143,-18.26857143,-98.18428571,47.38,-12.58142857,27.4,6.441428571,-97.55,-31,29.55,12.8,126.95,93.9
